service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GNX1 SCH MF,0,0,0,0,0,0,0,20240512,20240810
GR4 SU,0,0,0,0,0,0,0,20240512,20240810
9A SHOW MF,0,0,0,0,0,0,0,20240512,20240810
RUB1 MF,0,0,0,0,0,0,0,20240512,20240810
T2 SA,0,0,0,0,0,0,0,20240512,20240810
9B SHOW MF,0,0,0,0,0,0,0,20240512,20240810
Y4 SA,0,0,0,0,0,0,0,20240512,20240810
NEW N1 MF,0,0,0,0,0,0,0,20240512,20240810
BA2 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
16A 2 SHOW MF,0,0,0,0,0,0,0,20240512,20240810
R1 SA,0,0,0,0,0,0,0,20240512,20240810
LM1 SU,0,0,0,0,0,0,0,20240512,20240810
8E 5E SHOW WED,0,0,0,0,0,0,0,20240512,20240810
L1 MF,0,0,0,0,0,0,0,20240512,20240810
9B 7E SHOW MF,0,0,0,0,0,0,0,20240512,20240810
P2 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
GR4 SA,0,0,0,0,0,0,0,20240512,20240810
7W 5E HSEO,0,0,0,0,0,0,0,20240512,20240810
1N 2 SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
B3 SCH MF,0,0,0,0,0,0,0,20240512,20240810
5W 4 SHOW MF,0,0,0,0,0,0,0,20240512,20240810
L1 SA,0,0,0,0,0,0,0,20240512,20240810
5W 2 SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
6E 7W SHOW WED,0,0,0,0,0,0,0,20240512,20240810
BZ1 SCH MF,0,0,0,0,0,0,0,20240512,20240810
I1 SA,0,0,0,0,0,0,0,20240512,20240810
BZ1 NOSCH MF,0,0,0,0,0,0,0,20240512,20240810
B4 HS EO,0,0,0,0,0,0,0,20240512,20240810
T1 NONUI MF,0,0,0,0,0,0,0,20240512,20240810
Y2 UI,0,0,0,0,0,0,0,20240512,20240810
GNX5 MF,0,0,0,0,0,0,0,20240512,20240810
6E SHOW MTTF,0,0,0,0,0,0,0,20240512,20240810
T1 SU,0,0,0,0,0,0,0,20240512,20240810
I8 4S SCH MTTF,0,0,0,0,0,0,0,20240512,20240810
5W 3 SHOW MF,0,0,0,0,0,0,0,20240512,20240810
16B 1 SHOW MF,0,0,0,0,0,0,0,20240512,20240810
P1 MF,0,0,0,0,0,0,0,20240512,20240810
LN2 MF,0,0,0,0,0,0,0,20240512,20240810
SV4  NOSCH NONUI,0,0,0,0,0,0,0,20240512,20240810
7W 1 SHOW WED,0,0,0,0,0,0,0,20240512,20240810
T3 NONUI MF,0,0,0,0,0,0,0,20240512,20240810
5E UHS SHO WED,0,0,0,0,0,0,0,20240512,20240810
GN3 SCHOOL MF,0,0,0,0,0,0,0,20240512,20240810
Y3 SA,0,0,0,0,0,0,0,20240512,20240810
7E 2 SHOW WED,0,0,0,0,0,0,0,20240512,20240810
9A 10E 6E SHO MTTF,0,0,0,0,0,0,0,20240512,20240810
3N 9A SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
LM1 SA,0,0,0,0,0,0,0,20240512,20240810
GN2 SU,0,0,0,0,0,0,0,20240512,20240810
P2 MF SCH,0,0,0,0,0,0,0,20240512,20240810
BB1 MF,0,0,0,0,0,0,0,20240512,20240810
7E 1 SHOW WED,0,0,0,0,0,0,0,20240512,20240810
RUB1 SU,0,0,0,0,0,0,0,20240512,20240810
T2 SU,0,0,0,0,0,0,0,20240512,20240810
BB2 MF,0,0,0,0,0,0,0,20240512,20240810
GN3 NOSCH,0,0,0,0,0,0,0,20240512,20240810
L2 SCH MF,0,0,0,0,0,0,0,20240512,20240810
GR2 MF,0,0,0,0,0,0,0,20240512,20240810
RUB 2 SCH WED,0,0,0,0,0,0,0,20240512,20240810
RUB 2 NO SCH,0,0,0,0,0,0,0,20240512,20240810
Y3 SU,0,0,0,0,0,0,0,20240512,20240810
R3 SA,0,0,0,0,0,0,0,20240512,20240810
I2 NONUI MF,0,0,0,0,0,0,0,20240512,20240810
LN3 MF,0,0,0,0,0,0,0,20240512,20240810
GN3 HSEO,0,0,0,0,0,0,0,20240512,20240810
5W 4 SHO HSEO,0,0,0,0,0,0,0,20240512,20240810
BZ2 WED,0,0,0,0,0,0,0,20240512,20240810
10W UHS UMS MF,0,0,0,0,0,0,0,20240512,20240810
3N 7E HSEO,0,0,0,0,0,0,0,20240512,20240810
16B#2 SHOW WED,0,0,0,0,0,0,0,20240512,20240810
G3 NON UI MF,0,0,0,0,0,0,0,20240512,20240810
16B 2 9A SHO MTTF,0,0,0,0,0,0,0,20240512,20240810
G5 NON UI MF,0,0,0,0,0,0,0,20240512,20240810
GN3 SCH WED,0,0,0,0,0,0,0,20240512,20240810
L2 SU,0,0,0,0,0,0,0,20240512,20240810
GN1 MF,0,0,0,0,0,0,0,20240512,20240810
GR1 SU,0,0,0,0,0,0,0,20240512,20240810
